100	900	0.07534027099609375
102	898	4.547357559204102
104	896	9.702682495117188
106	894	14.885902404785156
108	892	20.215272903442383
110	890	25.557756423950195
112	888	31.18586540222168
114	886	37.015676498413086
116	884	42.769670486450195
118	882	48.410654067993164
120	880	53.79199981689453
122	878	59.13829803466797
124	876	64.47386741638184
126	874	69.77629661560059
128	872	75.13284683227539
130	870	80.52420616149902
132	868	85.90030670166016
134	866	91.47381782531738
136	864	97.21136093139648
138	862	102.82039642333984
140	860	108.4744930267334
142	858	114.13216590881348
144	856	119.79937553405762
146	854	125.46753883361816
148	852	131.23416900634766
150	850	136.81554794311523
152	848	142.5189971923828
154	846	148.08201789855957
156	844	153.71012687683105
158	842	159.4083309173584
160	840	165.07506370544434
162	838	170.69220542907715
164	836	176.48983001708984
166	834	182.29913711547852
168	832	188.07625770568848
170	830	193.603515625
172	828	199.2044448852539
174	826	205.033540725708
176	824	210.77561378479004
178	822	216.3078784942627
180	820	221.91309928894043
182	818	227.6325225830078
184	816	233.37841033935547
186	814	239.0768527984619
188	812	244.84586715698242
190	810	250.4746913909912
192	808	256.13927841186523
194	806	261.83271408081055
196	804	268.30101013183594
198	802	273.71764183044434
200	800	279.3576717376709
202	798	284.8970890045166
204	796	290.1773452758789
206	794	295.49360275268555
208	792	300.77528953552246
210	790	306.0581684112549
212	788	311.3424777984619
214	786	317.0340061187744
216	784	322.659969329834
218	782	327.9988765716553
220	780	333.25743675231934
222	778	338.5312557220459
224	776	343.8248634338379
226	774	349.1034507751465
228	772	354.40683364868164
230	770	359.65633392333984
232	768	364.98379707336426
234	766	370.2542781829834
236	764	375.52952766418457
238	762	380.78999519348145
240	760	386.04164123535156
242	758	391.3085460662842
244	756	396.59905433654785
246	754	401.8292427062988
248	752	407.09733963012695
250	750	412.37926483154297
252	748	417.6344871520996
254	746	422.86229133605957
256	744	428.1456470489502
258	742	433.45189094543457
260	740	438.74597549438477
262	738	443.96352767944336
264	736	449.25498962402344
266	734	454.56433296203613
268	732	460.01601219177246
270	730	465.6527042388916
272	728	471.2202548980713
274	726	476.85909271240234
276	724	482.49268531799316
278	722	488.24143409729004
280	720	493.94774436950684
282	718	499.57871437072754
284	716	505.16653060913086
286	714	510.89000701904297
288	712	516.5495872497559
290	710	522.2933292388916
292	708	527.9660224914551
294	706	533.6418151855469
296	704	538.9986038208008
298	702	544.4493293762207
300	700	549.8380661010742
302	698	555.1760196685791
304	696	560.5213642120361
306	694	565.8884048461914
308	692	571.7358589172363
310	690	577.5446891784668
312	688	583.2250118255615
314	686	588.9196395874023
316	684	594.66552734375
318	682	600.3930568695068
320	680	606.0535907745361
322	678	611.8719577789307
324	676	617.2847747802734
326	674	622.657060623169
328	672	628.0918121337891
330	670	633.8851451873779
332	668	639.6541595458984
334	666	645.4288959503174
336	664	651.1368751525879
338	662	656.8751335144043
340	660	662.6052856445312
342	658	668.2448387145996
344	656	674.0686893463135
346	654	679.8453330993652
348	652	685.5020523071289
350	650	691.2145614624023
352	648	696.9668865203857
354	646	702.6560306549072
356	644	708.2619667053223
358	642	713.9649391174316
360	640	719.5999622344971
362	638	725.337028503418
364	636	730.9892177581787
366	634	736.6242408752441
368	632	742.2394752502441
370	630	747.873067855835
372	628	753.5486221313477
374	626	759.1898441314697
376	624	764.8661136627197
378	622	770.5166339874268
380	620	776.1905193328857
382	618	781.947135925293
384	616	787.6632213592529
386	614	793.3778762817383
388	612	798.9945411682129
390	610	804.7711849212646
392	608	810.3892803192139
394	606	815.9463405609131
396	604	821.7120170593262
398	602	827.4023532867432
400	600	832.8342437744141
402	598	838.4571075439453
404	596	844.1076278686523
406	594	849.9066829681396
408	592	855.6747436523438
410	590	861.2351417541504
412	588	866.9071197509766
414	586	872.4684715270996
416	584	878.1800270080566
418	582	883.9640617370605
420	580	889.5547389984131
422	578	895.1981067657471
424	576	900.8526802062988
426	574	906.5816402435303
428	572	912.2610092163086
430	570	917.9151058197021
432	568	923.6552715301514
434	566	929.3625354766846
436	564	935.0075721740723
438	562	940.6476020812988
440	560	946.3236331939697
442	558	952.0275592803955
444	556	957.7112197875977
446	554	963.3026123046875
448	552	968.9509868621826
450	550	974.557638168335
452	548	980.1757335662842
454	546	985.8083724975586
456	544	991.4507865905762
458	542	997.1776008605957
460	540	1002.8095245361328
462	538	1008.4490776062012
464	536	1015.5301094055176
466	534	1021.1911201477051
468	532	1026.8714427947998
470	530	1032.5140953063965
472	528	1038.111925125122
474	526	1043.8966751098633
476	524	1049.6397018432617
478	522	1055.2308559417725
480	520	1060.828685760498
482	518	1066.5562152862549
484	516	1072.2262859344482
486	514	1077.9359340667725
488	512	1083.5976600646973
490	510	1089.301347732544
492	508	1094.8383808135986
494	506	1100.0683307647705
496	504	1105.3533554077148
498	502	1110.701084136963
500	500	1115.844964981079
502	498	1121.4356422424316
504	496	1126.9910335540771
506	494	1132.5228214263916
508	492	1138.047695159912
510	490	1143.65553855896
512	488	1149.1620540618896
514	486	1154.6587944030762
516	484	1160.252332687378
518	482	1165.5609607696533
520	480	1170.8967685699463
522	478	1176.1908531188965
524	476	1181.5121173858643
526	474	1186.7811679840088
528	472	1192.054271697998
530	470	1197.3800659179688
532	468	1202.8098106384277
534	466	1208.06884765625
536	464	1213.3991718292236
538	462	1218.656063079834
540	460	1223.9089012145996
542	458	1229.2685508728027
544	456	1234.8177433013916
546	454	1240.5550479888916
548	452	1246.3123798370361
550	450	1252.0418167114258
552	448	1257.7474117279053
554	446	1263.5085582733154
556	444	1268.8562870025635
558	442	1274.3043899536133
